RootAr,RootCode,RootEn,RootWordId,ChapterNo,MeaningEn,VerseNo,WordAr,WordNo,GrammarFormDesc,
إِذًا,<i*FA,idhan,1664,2,(would) then,145,اِذًا,30,Particle,
إِذًا,<i*FA,idhan,1664,4,Then,53,فَاِذًا,6,Particle,
إِذًا,<i*FA,idhan,1664,4,And then,67,وَّاِذًا,1,Particle,
إِذًا,<i*FA,idhan,1664,4,then,140,اِذًا,24,Particle,
إِذًا,<i*FA,idhan,1664,5,then,106,اِذًا,49,Particle,
إِذًا,<i*FA,idhan,1664,5,then,107,اِذًا,24,Particle,
إِذًا,<i*FA,idhan,1664,6,then,56,اِذًا,17,Particle,
إِذًا,<i*FA,idhan,1664,7,then,90,اِذًا,11,Particle,
إِذًا,<i*FA,idhan,1664,10,then (will be),106,اِذًا,14,Particle,
إِذًا,<i*FA,idhan,1664,11,then,31,اِذًا,29,Particle,
إِذًا,<i*FA,idhan,1664,12,then,14,اِذًا,8,Particle,
إِذًا,<i*FA,idhan,1664,12,then,79,اِذًا,12,Particle,
إِذًا,<i*FA,idhan,1664,15,then,8,اِذًا,8,Particle,
إِذًا,<i*FA,idhan,1664,17,then,42,اِذًا,8,Particle,
إِذًا,<i*FA,idhan,1664,17,And then,73,وَاِذًا,11,Particle,
إِذًا,<i*FA,idhan,1664,17,Then,75,اِذًا,1,Particle,
إِذًا,<i*FA,idhan,1664,17,But then,76,وَاِذًا,8,Particle,
إِذًا,<i*FA,idhan,1664,17,then,100,اِذًا,8,Particle,
إِذًا,<i*FA,idhan,1664,18,then,14,اِذًا,18,Particle,
إِذًا,<i*FA,idhan,1664,18,then ,20,اِذًا,12,Particle,
إِذًا,<i*FA,idhan,1664,18,then,57,اِذًا,29,Particle,
إِذًا,<i*FA,idhan,1664,23,then,34,اِذًا,6,Particle,
إِذًا,<i*FA,idhan,1664,23,Then,91,اِذًا,11,Particle,
إِذًا,<i*FA,idhan,1664,26,when,20,اِذًا,3,Particle,
إِذًا,<i*FA,idhan,1664,26,then,42,اِذًا,4,Particle,
إِذًا,<i*FA,idhan,1664,29,in that case,48,اِذًا,11,Particle,
إِذًا,<i*FA,idhan,1664,33,and then,16,وَاِذًا,11,Particle,
