Name,Surah,Ayat,Arabic,Translation1,Translation2,Translation3,Tafaseer1,Tafaseer2
The Cow,2,285,ءَامَنَ ٱلرَّسُولُ بِمَآ أُنْزِلَ إِلَيْهِ مِن رَّبِّهِ وَٱلْمُؤْمِنُونَ كُلٌّ آمَنَ بِٱللَّهِ وَمَلاۤئِكَتِهِ وَكُتُبِهِ وَرُسُلِهِ لاَ نُفَرِّقُ بَيْنَ أَحَدٍ مِّن رُّسُلِهِ وَقَالُواْ سَمِعْنَا وَأَطَعْنَا غُفْرَانَكَ رَبَّنَا وَإِلَيْكَ ٱلْمَصِيرُ,"(He) the Messenger (blessings and peace be upon him) believed in (i.e., affirmed) what was revealed to him by his Lord, and so have done the believers. All embraced faith (from the core of their hearts) in Allah, His angels, His Books and His Messengers. (They also say:) ‘We do not differentiate between any of His Messengers (in believing).’ And they submit (before His holy presence): ‘We have heard (Your command) and (accepted to) obey. ‘O our Lord! We seek Your forgiveness and to You (we all) have to return.’","The Messenger believes in what was sent down to him from his Lord, and the believers; each one believes in God and His angels, and in His Books and His Messengers; we make no division between any one of His Messengers. They say, ’We hear, and obey. Our Lord, grant us Thy forgiveness; unto Thee is the homecoming.’","The messenger believeth in that which hath been revealed unto him from his Lord and (so do) believers. Each one believeth in Allah and His angels and His scriptures and His messengers - We make no distinction between any of His messengers - and they say: We hear, and we obey. (Grant us) Thy forgiveness, our Lord. Unto Thee is the journeying.",The Messenger Muhammad (s) believes in affirms the truth of what was revealed to him from his Lord namely the Qur’ān and the believers wa’l-mu’minūna is a supplement to al-rasūlu ‘the Messenger’; each one the tanwīn of kullun stands in place of the second noun in an annexation sc. kullu wāhidin believes in God and His angels and in His Books all of them and each of them and His messengers and they say ‘we make no distinction between any of His messengers’ believing in some and disbelieving in others in the manner of the Jews and the Christians. And they say ‘We hear what we have been enjoined to hear and accept and obey; we ask you Your forgiveness our Lord; to You is the homecoming’ that is the return at the Resurrection. When the previous verse was revealed the believers complained of evil whisperings and it grieved them that they should be taken to account according to the principle expressed in it and so the following was revealed,"When the last verse was revealed, the believers found its content disconcerting. So when the Prophet (pbuh) ascended to heaven he prostrated to his Lord, and Allah said in praise of His Prophet: (The Messenger believeth) the Messenger Muhammad (pbuh) believes (in that which hath been revealed unto him from his Lord) i.e. the Qur'an and its content, and then the Prophet (pbuh) said on behalf of his Lord (and (so do) the believers. Each one believeth in Allah and His angels and His scriptures and His messengers-We make no distinction between any of His messengers-) they say: we do not disbelieve in any of his messengers (and they say: We hear) the saying of our Lord, (and we obey) the command of our Lord, i.e. we hear and obey our Lord. The Prophet (pbuh) then said: ((Grant us) Thy forgiveness) forgive us for the discourse of our souls, (our Lord) O our Lord! (Unto Thee is the journeying) unto you is the return after death."
She That Disputeth,58,13,ءَأَشْفَقْتُمْ أَن تُقَدِّمُواْ بَيْنَ يَدَيْ نَجْوَاكُمْ صَدَقَاتٍ فَإِذْ لَمْ تَفْعَلُواْ وَتَابَ ٱللَّهُ عَلَيْكُمْ فَأَقِيمُواْ ٱلصَّلاَةَ وَآتُواْ ٱلزَّكَاةَ وَأَطِيعُواْ ٱللَّهَ وَرَسُولَهُ وَٱللَّهُ خَبِيرٌ بِمَا تَعْمَلُونَ,"Are you worried about donating in charity before your submission to the Messenger (blessings and peace be upon him) in secret? So when you did not do (that) and Allah lifted from you probe (i.e., relaxed this restriction), then establish Prayer and pay Zakat (the Alms-due) and obey Allah and His Messenger (blessings and peace be upon him) persistently. And Allah is Well Aware of all the deeds that you do.","Are you afraid, before your conspiring, to advance freewill offerings? If you do not so, and God turns again unto you, then perform the prayer, and pay the alms, and obey God and His Messenger. God is aware of the things you do.","Fear ye to offer alms before your conference ? Then, when ye do it not and Allah hath forgiven you, establish worship and pay the poor-due and obey Allah and His messenger. And Allah is Aware of what ye do.",Do you fear read a-ashfaqtum either pronouncing both hamzas fully or by replacing the second one with an alif or not pronouncing it but inserting an alif between the one not unpronounced and the other one or without this insertion poverty when you fear to offer voluntary alms before your secret talks. So as you did not do this giving of voluntary alms and God relented to you waiving this requirement for you maintain prayer and pay the alms and obey God and His Messenger that is to say observe these duties regularly. For God is Aware of what you do.,"When they stopped speaking with the Prophet (pbuh) because of the required almsgiving involved, Allah reproached them for doing so, saying: (Fear ye) are you miserly, O well off people, (to offer alms before your conference) to offer alms to the poor before speaking with the Prophet (pbuh)? (Then, when ye do it not) when you do not give alms (and Allah hath forgiven you) the question of giving alms, (establish worship) perform the five daily prayers (and pay the poor-due) from your wealth (and obey Allah) in that which He commands you (and His messenger) in that which he commands you. (And Allah is Aware of what ye do) whether it is good or evil. But no one gave alms for speaking with the Prophet (pbuh) except 'Ali Ibn Abi Talib who gave to alms a golden piece which he sold for ten silver pieces, and then asked the Prophet (pbuh) a question of ten words."
The Sovereignty,67,16,ءَأَمِنتُمْ مَّن فِي ٱلسَّمَآءِ أَن يَخْسِفَ بِكُمُ ٱلأَرْضَ فَإِذَا هِيَ تَمُورُ,Have you gone fearless of (the Lord of) the heaven that He may sink you into the earth when it suddenly shakes?,"Do you feel secure that He who is in heaven will not cause the earth to swallow you, the while it rocks?",Have ye taken security from Him Who is in the heaven that He will not cause the earth to swallow you when lo! it is convulsed ?,Are you secure read a-amintum pronouncing both hamzas fully or by not pronouncing the second one inserting an alif between it and the other one or without the insertion but replacing it with an alif instead in thinking that He Who is in the heaven that He Whose authority and power is in the heaven will not cause the earth to swallow you an yakhsifa substitutes for man ‘He Who’ while it quakes? while it moves underneath you and rises above you?,"(Have ye taken security) by your transgression, O people of Mecca, (from Him Who is in the heaven) from the chastisement of He Who is in Heaven established on the Throne (that He will not cause the earth to swallow you when lo! it is convulsed) swirling with you to the seventh earth, just as it has swallowed Korah?"
Those Who Drag Forth,79,27,ءَأَنتُمْ أَشَدُّ خَلْقاً أَمِ ٱلسَّمَآءُ بَنَاهَا,"Is it you who are harder to create, or (the entire) galactic universe that He has built?","What, are you stronger in constitution or the heaven He built?","Are ye the harder to create, or is the heaven that He built ?",Are you read a-antum pronouncing both hamzas or by substituting an alif for the second one not pronouncing it and inserting an alif between the one not pronounced and the former or without this insertion namely you the deniers of the Resurrection harder to create or the heaven which He has built? harder to create banāhā an explication of the manner of its creation.,"(Are ye) O people of Mecca (the harder to create) harder to resurrect and more perfect in your creation, (or is the heaven that He built?"
The Event,56,69,ءَأَنتُمْ أَنزَلْتُمُوهُ مِنَ ٱلْمُزْنِ أَمْ نَحْنُ ٱلْمُنزِلُونَ,"Have you sent it down from the cloud, or are We its Sender?","Did you send it down from the clouds, or did We send it?","Is it ye who shed it from the raincloud, or are We the Shedder ?",Is it you who cause it to come down from the rain clouds muzn is the plural of muzna or are We the Causer of its coming down?,"(Is it ye) O people of Mecca (who shed it from the rain cloud, or are We the Shedder?) Indeed, it is We Who send it down to you."
The Event,56,59,ءَأَنتُمْ تَخْلُقُونَهُ أَم نَحْنُ ٱلْخَالِقُونَ,"Is it you who create (a human being) from it, or are We the Creator?","Do you yourselves create it, or are We the Creators?",Do ye create it or are We the Creator ?,Is it you a-antum read by pronouncing both hamzas fully or by replacing the second one with an alif or not pronouncing it but inserting an alif between the one not pronounced and the other one or without this insertion in the four instances here and below who create it that is the sperm making it into a human being or are We the Creators?,"(Do ye) O people of Mecca (create it) as a human life, male or female, felicitous or damned (or are We the Creator)? No indeed, you are not the Creator, We are."
The Event,56,64,ءَأَنتُمْ تَزْرَعُونَهُ أَمْ نَحْنُ ٱلزَّارِعُونَ,"Is it you who make (the crop) grow from it, or are We its Grower?","Do you yourselves sow it, or are We the Sowers?","Is it ye who foster it, or are We the Fosterer ?",Is it you who make it grow or are We the Grower?,"(Is it ye) O people of Mecca (who foster it) who makes it grow, (or are We the Fosterer) or are We the One to make it grow?"
The Spider,29,45,ٱتْلُ مَا أُوْحِيَ إِلَيْكَ مِنَ ٱلْكِتَابِ وَأَقِمِ ٱلصَّلاَةَ إِنَّ ٱلصَّلاَةَ تَنْهَىٰ عَنِ ٱلْفَحْشَآءِ وَٱلْمُنْكَرِ وَلَذِكْرُ ٱللَّهِ أَكْبَرُ وَٱللَّهُ يَعْلَمُ مَا تَصْنَعُونَ,"(O Esteemed Beloved!) Recite the Book which has been revealed to you and establish prayer. Surely, prayer prohibits indecency and impiety; and verily, the remembrance of Allah is the greatest. And Allah knows whatever (deeds) you do.","Recite what has been revealed to thee of the Book, and perform the prayer; prayer forbids indecency and dishonour. God’s remembrance is greater; and God knows the things you work.","Recite that which hath been inspired in thee of the Scripture, and establish worship. Lo! worship preserveth from lewdness and iniquity, but verily remembrance of Allah is more important. And Allah knoweth what ye do.",Recite what has been revealed to you of the Book the Qur’ān and maintain prayer; truly prayer prohibits lewd acts and indecency defined as such according to the Law. In other words that is its purpose provided that the person adheres to observance of it. And the remembrance of God is surely greater than other acts of obedience and God knows what you do and He will requite you for them.,"(Recite that which hath been inspired in thee of the Scripture) He says: recite unto them, O Muhammad, that which Gabriel brought down to you, i.e. the Qur'an, (and establish worship) fulfil the five daily prayers. (Lo! worship preserveth from lewdness) transgressions (and iniquity) that which is unknown in the Shari'ah or Sunnah; as long as one performs the prayers, they will prevent one from lewdness and iniquity, (but verily remembrance of Allah is more important) He says: Allah's remembrance of you, through His forgiveness and reward, is greater than your remembrance of Him during the prayer. (And Allah knoweth what ye do) whether it is good or evil."
The Heights,7,3,ٱتَّبِعُواْ مَآ أُنزِلَ إِلَيْكُمْ مِّن رَّبِّكُمْ وَلاَ تَتَّبِعُواْ مِن دُونِهِ أَوْلِيَآءَ قَلِيلاً مَّا تَذَكَّرُونَ,"(O people!) Follow this (Qur’an) which has been sent down to you from your Lord, and do not follow (any heretic rulers and) friends other than Him. You take advice but little!","Follow what has been sent down to you from your Lord, and follow no friends other than He; little do you remember.","(Saying): Follow that which is sent down unto you from your Lord, and follow no protecting friends beside Him. Little do ye recollect!",Say to them Follow what has been revealed to you from your Lord namely the Qur’ān and do not follow do not take beside Him namely God in other words other than Him any patrons obeying them in disobedience of Him exalted be He. Little do you remember read tadhakkarūn or yadhakkarūn ‘little are you or they admonished’; the original tā’ of tatadhakkarūn has been assimilated with the dhāl; a variant reading has tadhkurūn; the mā of qalīlan mā ‘little’ is extra merely emphasising the ‘littleness’.,"((Saying): Follow that which is sent down unto you from your Lord) i.e. the Qur'an: uphold as lawful that which it makes lawful and unlawful that which it makes unlawful, (and follow) and worship (no protecting friends) idols as lords (beside Him. Little do you recollect) you do not take admonition neither much nor a little!"
Yâ Sîn,36,21,ٱتَّبِعُواْ مَن لاَّ يَسْأَلُكُمْ أَجْراً وَهُمْ مُّهْتَدُونَ,Follow those who do not ask from you any compensation and who are rightly guided.,"Follow such as ask no wage of you, that are right-guided.","Follow those who ask of you no fee, and who are rightly guided.",Follow ittabi‘ū this reiterates the preceding ittabi‘ū them who do not ask you for any reward in return for delivering to you the message and who are rightly guided. And so he was asked ‘Do you follow their religion?’ So he replied,"(Follow those who ask of you no fee) or reward for believing in Allah, (and who are rightly guided) and who guide to belief in Allah's divine Oneness. They said to him: you have absolved yourself from us and from the religion of our forefathers and embraced the religion of our enemy."
