Arabic Root Word,ChapterNo,VerseNo,Actual Arabic Word
س م و,1,1,بِسْمِ
ا ل ه,1,1,اللَّهِ
ر ح م,1,1,الرَّحْمَنِ
ر ح م,1,1,الرَّحِيمِ
ح م د,1,2,الْحَمْدُ
ا ل ه,1,2,لِلَّهِ
ر ب ب,1,2,رَبِّ
ع ل م,1,2,الْعَالَمِينَ
ر ح م,1,3,الرَّحْمَنِ
ر ح م,1,3,الرَّحِيمِ
م ل ك,1,4,مَالِكِ
ي و م,1,4,يَوْمِ
د ي ن,1,4,الدِّينِ
ا ي ي,1,5,إِيَّاكَ
ع ب د,1,5,نَعْبُدُ
ا ي ي,1,5,وَإِيَّاكَ
ع و ن,1,5,نَسْتَعِينُ
ه د ي,1,6,اهْدِنَا
ص ر ط,1,6,الصِّرَاطَ
ق و م,1,6,الْمُسْتَقِيمَ
ص ر ط,1,7,صِرَاطَ
ا ل ل ذ,1,7,الَّذِينَ
ن ع م,1,7,أَنْعَمْتَ
ع ل ي,1,7,عَلَيْهِمْ
غ ي ر,1,7,غَيْرِ
غ ض ب,1,7,الْمَغْضُوبِ
ع ل ي,1,7,عَلَيْهِمْ
ل ا,1,7,وَلَا
ض ل ل,1,7,الضَّالِّينَ
ا ل م,2,1,الم
ذ ل ك,2,2,ذَلِكَ
ك ت ب,2,2,الْكِتَابُ
ل ا,2,2,لَا
ر ي ب,2,2,رَيْبَ
ف ي,2,2,فِيهِ
ه د ي,2,2,هُدًى
و ق ي,2,2,لِلْمُتَّقِينَ
ا ل ل ذ,2,3,الَّذِينَ
ا م ن,2,3,يُؤْمِنُونَ
غ ي ب,2,3,بِالْغَيْبِ
ق و م,2,3,وَيُقِيمُونَ
ص ل و,2,3,الصَّلَوةَ
م م ا,2,3,وَمِمَّا
ر ز ق,2,3,رَزَقْنَاهُمْ
ن ف ق,2,3,يُنْفِقُونَ
ا ل ل ذ,2,4,وَالَّذِينَ
ا م ن,2,4,يُؤْمِنُونَ
ب م ا,2,4,بِمَا
ن ز ل,2,4,أُنْزِلَ
ا ل ي,2,4,إِلَيْكَ
م ا,2,4,وَمَا
ن ز ل,2,4,أُنْزِلَ
م ن,2,4,مِنْ
ق ب ل,2,4,قَبْلِكَ
ا خ ر,2,4,وَبِالْءَاخِرَةِ
ه م,2,4,هُمْ
ي ق ن,2,4,يُوقِنُونَ
ا و ل ا,2,5,أُولَئِكَ
ع ل ي,2,5,عَلَى
ه د ي,2,5,هُدًى
م ن,2,5,مِنْ
ر ب ب,2,5,رَبِّهِمْ
