Arabic Root Word,ChapterNo,VerseNo,Actual Arabic Word,
ا ل ه,1,1,ٱللَّهِ,
ر ح م,1,1,ٱلرَّحْمَٰنِ,
ر ح م,1,1,ٱلرَّحِيمِ,
س م و,1,1,بِسْمِ,
ا ل ه,1,2,لِلّٰهِ,
ح م د,1,2,اَلۡحَمۡدُ,
ر ب ب,1,2,رَبِّ,
ع ل م,1,2,الۡعٰلَمِيۡنَۙ‏,
ر ح م,1,3,الرَّحۡمٰنِ,
ر ح م,1,3,الرَّحِيۡمِۙ‏,
د ي ن,1,4,الدِّيۡنِؕ‏,
م ل ك,1,4,مٰلِكِ,
ي و م,1,4,يَوۡمِ,
ع ب د,1,5,نَعۡبُدُ,
ع و ن,1,5,نَسۡتَعِيۡنُؕ‏,
ص ر ط,1,6,الصِّرَاطَ,
ق و م,1,6,الۡمُسۡتَقِيۡمَۙ‏,
ه د ي,1,6,اِهۡدِنَا,
ٱلَّذِى,1,7,الَّذِيۡنَ,
ص ر ط,1,7,صِرَاطَ,
غ ض ب,1,7,الۡمَغۡضُوۡبِ,
غ ي ر,1,7,غَيۡرِ,
ن ع م,1,7,اَنۡعَمۡتَ,
ر ي ب,2,2,رَيۡبَ ۛۚ  ۖ,
ك ت ب,2,2,الۡڪِتٰبُ,
ه د ي,2,2,هُدًى,
و ق ي,2,2,لِّلۡمُتَّقِيۡنَۙ‏,
ٱلَّذِى,2,3,الَّذِيۡنَ,
ر ز ق,2,3,رَزَقۡنٰهُمۡ,
ص ل و,2,3,الصَّلٰوةَ,
غ ي ب,2,3,بِالۡغَيۡبِ,
ق و م,2,3,وَيُقِيۡمُوۡنَ,
ن ف ق,2,3,يُنۡفِقُوۡنَۙ‏,
ٱلَّذِى,2,4,وَالَّذِيۡنَ,
ا خ ر,2,4,وَبِالۡاٰخِرَةِ,
إِلَىٰ,2,4,اِلَيۡكَ,
ق ب ل,2,4,قَبۡلِكَۚ,
ن ز ل,2,4,اُنۡزِلَ,
ن ز ل,2,4,اُنۡزِلَ,
ي ق ن,2,4,يُوۡقِنُوۡنَؕ‏,
ر ب ب,2,5,رَّبِّهِمۡ‌,
ف ل ح,2,5,الۡمُفۡلِحُوۡنَ‏,
ه د ي,2,5,هُدًى,
ٱلَّذِى,2,6,الَّذِيۡنَ,
أَم,2,6,اَمۡ,
س و ي,2,6,سَوَآءٌ,
ك ف ر,2,6,كَفَرُوۡا,
ن ذ ر,2,6,ءَاَنۡذَرۡتَهُمۡ,
ن ذ ر,2,6,تُنۡذِرۡهُمۡ,
ا ل ه,2,7,اللّٰهُ,
ب ص ر,2,7,اَبۡصَارِهِمۡ,
خ ت م,2,7,خَتَمَ,
س م ع,2,7,سَمۡعِهِمۡ‌ؕ,
ع ذ ب,2,7,عَذَابٌ,
ع ظ م,2,7,عَظِيۡمٌ‏,
غ ش و,2,7,غِشَاوَةٌ,
ق ل ب,2,7,قُلُوۡبِهِمۡ,
ا خ ر,2,8,الۡاٰخِرِ,
ا ل ه,2,8,بِاللّٰهِ,
ا م ن,2,8,بِمُؤۡمِنِيۡنَ‌ۘ‏,
ق و ل,2,8,يَّقُوۡلُ,
ن و س,2,8,النَّاسِ,
ي و م,2,8,وَبِالۡيَوۡمِ,
ٱلَّذِى,2,9,وَالَّذِيۡنَ,
ا ل ه,2,9,اللّٰهَ,
إِلَّا,2,9,اِلَّاۤ,
خ د ع,2,9,يَخۡدَعُوۡنَ,
خ د ع,2,9,يُخٰدِعُوۡنَ,
ش ع ر,2,9,يَشۡعُرُوۡنَؕ‏,
ن ف س,2,9,اَنۡفُسَهُمۡ,
ا ل م,2,10,اَلِيۡمٌۙ  ۢ,
ا ل ه,2,10,اللّٰهُ,
ز ي د,2,10,فَزَادَهُمُ,
ع ذ ب,2,10,عَذَابٌ,
ق ل ب,2,10,قُلُوۡبِهِمۡ,
ك ذ ب,2,10,يَكۡذِبُوۡنَ‏,
ك و ن,2,10,كَانُوۡا,
م ر ض,2,10,مَّرَضٌۙ,
م ر ض,2,10,مَرَضًا‌ۚ,
ا ر ض,2,11,الۡاَرۡضِۙ,
إِذَا,2,11,وَاِذَا,
ص ل ح,2,11,مُصۡلِحُوۡنَ‏,
ف س د,2,11,تُفۡسِدُوۡا,
ق و ل,2,11,قِيۡلَ,
ق و ل,2,11,قَالُوۡٓا,
ش ع ر,2,12,يَشۡعُرُوۡنَ‏,
